"month","PPI"
1,102.4
2,104
3,104.6
4,103.6
5,102
6,101.3
7,101.4
8,101.4
9,101.4
10,101.2
11,101.9
12,103
13,103.5
14,103.5
15,103.9
16,105
17,105.7
18,106.4
19,106.4
20,106.8
21,107.9
22,108.4
23,108.1
24,107.1
25,105.8
26,105.38
27,105.6
28,105.78
29,105.9
30,105.2
31,105.19
32,105.3
33,104.5
34,104
35,103.2
36,103.2
37,103.05
38,103.01
39,102.49
40,101.87
41,102.43
42,103.52
43,103.58
44,103.4
45,103.5
46,102.98
47,102.8
48,103.1
49,103.3
50,102.6
51,102.7
52,102.9
53,102.8
54,102.5
55,102.4
56,102.6
57,102.7
58,103.2
59,104.6
60,105.4
61,106.1
62,106.6
63,108
64,108.1
65,108.2
66,108.8
67,110
68,110.1
69,109.1
70,106.6
71,102
72,98.9
73,96.7
74,95.5
75,94
76,93.4
77,92.8
78,92.2
79,91.8
80,92.1
81,93
82,94.2
83,97.9
84,101.7
85,104.3
86,105.4
87,105.9
88,106.8
89,107.1
90,106.4
91,104.8
92,104.3
93,104.3
94,105
95,106.1
96,105.9
97,106.6
98,107.2
99,107.3
100,106.8
101,106.8
102,107.1
103,107.5
104,107.3
105,106.5
106,105
107,102.7
108,101.7
109,100.7
110,100
111,99.7
112,99.3
113,98.6
114,97.92
115,97.13
116,96.52
117,96.45
118,97.24
119,97.8
120,98.06
121,98.36
122,98.37
123,98.08
124,97.38
125,97.13
126,97.3
127,97.73
128,98.38
129,98.66
130,98.49
131,98.58
132,98.64
133,98.4
134,97.98
135,97.7
136,98
137,98.55
138,98.89
139,99.13
140,98.8
141,98.2
142,97.76
143,97.31
144,96.68
145,95.68
146,95.2
147,95.44
148,95.43
149,95.39
150,95.19
151,94.63
152,94.08
153,94.06
154,94.12
155,94.1
156,94.1
157,94.72
158,95.1
159,95.68
160,96.62
161,97.2
162,97.4
163,98.3
164,99.2
165,100.1
166,101.2
167,103.3
168,105.5
